# FINAL TIMESERIES OF WASP-12 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2460584.806021271, -0.08932466271668763, 1.0397542984037036, 0.013184161188702007, 1.0, 0.7962694846857667
2460584.809122355, -0.08648333058860283, 1.0048514603359304, 0.013174439023562468, 1.0, 0.8218196422823395
2460584.8122002077, -0.08366328436244239, 1.0085709062651065, 0.013165708871374639, 1.0, 0.8454774245632143
2460584.8164457926, -0.07977331714504224, 0.9915497373198345, 0.013154954455754962, 1.0, 0.8755816926507237
2460584.8176405644, -0.07867862148017982, 0.9988486577386724, 0.01315216619391138, 1.0, 0.8835643174972886
2460584.820213876, -0.07632085478365794, 0.9869435060200132, 0.013146454009550577, 1.0, 0.9001513594111873
2460584.822301341, -0.074408239484228, 0.9977544734318704, 0.013142135486884903, 1.0, 0.9129027662728597
2460584.8264772086, -0.07058215002546486, 0.9791863803787533, 0.01313419912004519, 1.0, 0.9368208382071033
2460584.828553364, -0.06867989693689955, 0.9874868405719873, 0.013130539333445925, 1.0, 0.9480655748570699
2460584.8327282243, -0.06485473033654215, 0.9833258578982081, 0.013123768333879177, 1.0, 0.9692351126614404
2460584.834802852, -0.06295387710855438, 1.01606921294515, 0.013120636385442376, 1.0, 0.9791901852655156
2460584.8410549792, -0.05722543899012891, 0.9857211555498749, 0.013112100289340674, 0.9992221302616688, 1.0068572963971056
2460584.8431419693, -0.05531325888051583, 0.9848306266515818, 0.01310951215047703, 0.9977869159274523, 1.0154030276251602
2460584.8577187215, -0.041957480943346004, 0.9811452143860488, 0.013094262272617663, 0.9816435064315394, 1.067285859357577
2460584.859805237, -0.04004573559689309, 0.9899172444948942, 0.013092427089300742, 0.9806303792635946, 1.073709776160131
2460584.8639798653, -0.036220781471563934, 0.9696118090834784, 0.013088967752420603, 0.9790722537889464, 1.0859267228067264
2460584.866055535, -0.03431897338591919, 0.9748434275391357, 0.013087336252437517, 0.9784415779681507, 1.0917377814996334
2460584.868142201, -0.03240709022935759, 0.9717846049961806, 0.013085765726246135, 0.9778792038421572, 1.0973617270437035
2460584.8744053934, -0.02666851389482619, 0.9725962692903827, 0.013081392572521689, 0.9765276319815331, 1.1131784225596149
2460584.876480762, -0.024766981856055442, 0.9845043004178202, 0.013080039324641463, 0.9761703434665726, 1.118119928843363
2460584.878556675, -0.022864951055622057, 0.984207775343543, 0.013078733464412153, 0.9758507929987534, 1.1229096787238388
2460584.8889802573, -0.01331446605050668, 0.9840245213145147, 0.01307284847789137, 0.9747222401330445, 1.1447570849605233
2460584.8952273834, -0.007590610224858657, 0.9708238669464498, 0.013069769708684483, 0.9743614681095838, 1.156359531511724
2460584.8973134356, -0.0056792894018055096, 0.9816455039463179, 0.013068810750104071, 0.9742868232809468, 1.1599979248373031
2460584.9014735133, -0.0018676670178559562, 0.9626196109218559, 0.01306698273112274, 0.9742029150172603, 1.166966114415078
2460584.9035744164, 5.7260740137454746e-05, 0.9795308334137721, 0.013066111384589667, 0.9741928036868415, 1.1703026442021964
2460584.909808705, 0.005769354494343293, 0.9766943675893962, 0.013063660496612433, 0.9742898457599435, 1.1797399453770445
2460584.9118978474, 0.007683506611146085, 0.9860603585877571, 0.01306289370445917, 0.9743656625542566, 1.1827084942789992
2460584.916072684, 0.01150865145201263, 0.9809905849122711, 0.01306143114629205, 0.9745853967996808, 1.188391835661873
2460584.920224589, 0.015312785584515543, 0.9791085579158507, 0.013060055943880272, 0.9748999076778445, 1.1937612167166003
2460584.922311428, 0.017224827457363256, 0.9640155115766587, 0.013059399397538474, 0.9750970902321215, 1.1963334050763703
2460584.9327282496, 0.026769117834095413, 0.9624963934636501, 0.01305640543732984, 0.9765476582762754, 1.208135111063477
2460584.9348151926, 0.02868125485138351, 0.9602927654181901, 0.01305586011904211, 0.9769513149653468, 1.2102974608535795
2460584.9389752583, 0.03249286614225927, 0.9863007484801647, 0.013054817785853623, 0.9779030591655918, 1.2144416501617323
2460584.941073545, 0.03441539651634984, 0.9679575631790593, 0.013054319842144672, 0.9784717362120815, 1.2164265363418214
2460584.9431481026, 0.03631618574583517, 0.9922658444933612, 0.013053837295599823, 0.979106016180535, 1.2183532144163391
2460584.9473103904, 0.04012983304240314, 0.9728286185392963, 0.013052915878007311, 0.9806704782318376, 1.2220408656605337
2460584.9493976575, 0.04204226701274272, 0.9793512517952395, 0.013052476196661257, 0.9816953323216449, 1.2238045600120386
2460584.951484821, 0.043954605838641914, 0.9769336784463489, 0.013052049584947375, 0.9835162189076891, 1.225518318064215
2460584.9577491684, 0.049694240708404336, 0.9930768429646727, 0.013050846248678657, 0.9912515356054307, 1.2303655315520208
2460584.9598176023, 0.05158941897584901, 0.9946419346614073, 0.013050472885288282, 0.9937326477250896, 1.2318734782840637
2460584.96190436, 0.0535013861837772, 1.0038834688478022, 0.01305010919175708, 0.9959846265827369, 1.2333441887261118
2460584.9639920327, 0.05541419177208784, 1.0125630856297971, 0.013049757257988615, 0.9978758040775149, 1.2347690555061674
2460584.966080098, 0.057327357031982384, 1.0128312332375504, 0.013049416268824004, 0.9992822565802945, 1.2361512179356344
2460584.9681603387, 0.0592333531796293, 1.001936364256967, 0.013049087013954587, 0.999993128003042, 1.237487319193699
2460584.9702476636, 0.06114584005539764, 1.0088248791880805, 0.013048768195685904, 1.0, 1.2387824775586918
2460584.9723224873, 0.06304687290584898, 0.9997445988777365, 0.013048460084953284, 1.0, 1.2400354560237605
2460584.9744126014, 0.06496191545514962, 0.9794583164363606, 0.01304816198169628, 1.0, 1.241248972039714
2460584.9764877604, 0.06686325549841288, 1.0002578345199948, 0.013047874585857225, 1.0, 1.2424200510163785
2460584.980651205, 0.07067796261018189, 0.9962301017656129, 0.013047328799268693, 1.0, 1.2446471327036892
2460584.9827389466, 0.07259083134368166, 1.0076398185184756, 0.013047070848810356, 1.0, 1.2457011206015003
2460584.984814499, 0.07449253191184224, 0.996968456782203, 0.013046821925218197, 1.0, 1.2467190906463517
2460584.9910649094, 0.0802193969470768, 1.0030856017885819, 0.013046129987723726, 1.0, 1.2495532352072354
2460584.9931524536, 0.08213208477814288, 1.00579573118934, 0.01304591706300438, 1.0, 1.2504266911550193
2460584.995240125, 0.08404488908648344, 1.0069068238062227, 0.013045712740233494, 1.0, 1.251265447814523
2460584.9973160364, 0.08594691860694681, 0.9933298012174525, 0.013045516875470795, 1.0, 1.2520700243717244
